Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Menu,Category,Subcategory,Item,Price,Description,Image
Imported item 113,imported-item-113,67cdad02e3ca9f1f188d1e33,67cdadb7b79a58c7bd8ee239,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Modelo Especial,$7,,
Imported item 114,imported-item-114,67cdad02e3ca9f1f188d1e33,67cdadb76ac887f1dabf062c,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Red Stripe,$7,,
Imported item 115,imported-item-115,67cdad02e3ca9f1f188d1e33,67cdadb758e2299374e6bc0a,false,false,Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:19 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Shiner Bock,$7,,
Imported item 116,imported-item-116,67cdad02e3ca9f1f188d1e33,67cdadb8f0468475cfd1f104,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,PREMIUM BEER,Stella Artois,$7,,
Imported item 117,imported-item-117,67cdad02e3ca9f1f188d1e33,67cdadb808e0807c3195a7e3,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Angry Orchard,$8,,
Imported item 118,imported-item-118,67cdad02e3ca9f1f188d1e33,67cdadb808ea1ae1f6fe3f2a,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Corona Light,$8,,
Imported item 119,imported-item-119,67cdad02e3ca9f1f188d1e33,67cdadb86041daac258f9f24,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Guinness,$8,,
Imported item 12,imported-item-12,67cdad02e3ca9f1f188d1e33,67cdadb0e7250808508161e8,false,false,Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,BEER,PREMIUM BEER,Modelo Especial,$7,,
Imported item 120,imported-item-120,67cdad02e3ca9f1f188d1e33,67cdadb8027b6113a5b367da,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Heineken 0.0,$8,,
Imported item 121,imported-item-121,67cdad02e3ca9f1f188d1e33,67cdadb850d85994e21f2061,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Marble Double White,$8,,
Imported item 122,imported-item-122,67cdad02e3ca9f1f188d1e33,67cdadb8b4f5433e75312a5a,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Negra Modelo,$8,,
Imported item 123,imported-item-123,67cdad02e3ca9f1f188d1e33,67cdadb8a900c3af56d84da6,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Sandia Watermelon Cider,$8,,
Imported item 124,imported-item-124,67cdad02e3ca9f1f188d1e33,67cdadb8fcd40d994863388a,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Santa Fe 7k IPA,$8,,
Imported item 125,imported-item-125,67cdad02e3ca9f1f188d1e33,67cdadb89965e2cf560c4d72,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,BEER,SUPER PREMIUM BEER,Truly,$8,,
Imported item 126,imported-item-126,67cdad02e3ca9f1f188d1e33,67cdadb85863caa70b8dfce0,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Chardonnay,$9,,
